"Charlie Wilson's War","7.1","1","oscar","2007","Mike Nichols","USA, Germany"
"Prometheus","7.1","1","oscar","2012","Ridley Scott","USA, UK"
"Ted","7.1","1","oscar","2012","Seth MacFarlane","USA"
"The Master","7.1","3","oscar","2012","Paul Thomas Anderson","USA"
"War Witch","7.1","1","oscar","2012","Kim Nguyen","Canada"
"Flags of Our Fathers","7.1","2","oscar","2006","Clint Eastwood","USA"
"Days of Glory","7.1","1","oscar","2006","Rachid Bouchareb","Algeria, France, Morocco, Belgium"
"Pieces of April","7.1","1","oscar","2003","Peter Hedges","USA"
"Defiance","7.1","1","oscar","2008","Edward Zwick","USA"
"I, Robot","7.0","1","oscar","2004","Alex Proyas","USA, Germany"
"Julie & Julia","7.0","1","oscar","2009","Nora Ephron","USA"
"A Serious Man","7.0","2","oscar","2009","Ethan Coen, Joel Coen","USA, UK, France"
"The Last Station","7.0","2","oscar","2009","Michael Hoffman","Germany, Russia, UK"
"Iron Man 2","7.0","1","oscar","2010","Jon Favreau, Kenneth Branagh","USA"
"Rabbit Hole","7.0","1","oscar","2010","John Cameron Mitchell","USA"
"My Week with Marilyn","7.0","2","oscar","2011","Simon Curtis","UK, USA"
"Footnote","7.0","1","oscar","2011","Joseph Cedar","Israel"
"Pirates of the Caribbean: At World's End","7.0","2","oscar","2007","Gore Verbinski","USA"
"Katyn","7.0","1","oscar","2007","Andrzej Wajda","Poland"
"ParaNorman","7.0","1","oscar","2012","Chris Butler, Sam Fell","USA"
"Syriana","7.0","1","oscar","2005","Stephen Gaghan","USA"
"Junebug","7.0","1","oscar","2005","Phil Morrison","USA"
"Mrs Henderson Presents","7.0","2","oscar","2005","Stephen Frears","UK, USA"
"Curse of the Golden Flower","7.0","1","oscar","2006","Yimou Zhang","Hong Kong, China"
"Girl with a Pearl Earring","7.0","3","oscar","2003","Peter Webber","UK, Luxembourg"
"The Cooler","7.0","1","oscar","2003","Wayne Kramer","USA"
"Tropic Thunder","7.0","1","oscar","2008","Ben Stiller","USA, UK, Germany"
"Bolt","7.0","1","oscar","2008","Byron Howard, Chris Williams","USA"
"I Am Love","6.9","1","oscar","2009","Luca Guadagnino","Italy"
"Rio","6.9","1","oscar","2011","Carlos Saldanha","USA"
"Extremely Loud & Incredibly Close","6.9","2","oscar","2011","Stephen Daldry","USA"
"I'm Not There.","6.9","1","oscar","2007","Todd Haynes","USA, Germany, Canada"
"Hitchcock","6.9","1","oscar","2012","Sacha Gervasi","USA"
"Frankenweenie","6.9","1","oscar","2012","Tim Burton","USA"
"Thirteen","6.9","1","oscar","2003","Catherine Hardwicke","USA"
"The Duchess","6.9","1","oscar","2008","Saul Dibb","UK, Italy, France, USA"
"Lemony Snicket's A Series of Unfortunate Events","6.8","1","oscar","2004","Brad Silberling","USA, Germany"
"TRON: Legacy","6.8","1","oscar","2010","Joseph Kosinski","USA"
"Bridesmaids","6.8","2","oscar","2011","Paul Feig","USA"
"Anonymous","6.8","1","oscar","2011","Roland Emmerich","UK, Germany, USA"
"Elizabeth: The Golden Age","6.8","1","oscar","2007","Shekhar Kapur","UK, France, USA, Germany"
"Unstoppable","6.7","1","oscar","2010","Tony Scott","USA"
"The Tree of Life","6.7","3","oscar","2011","Terrence Malick","USA"
"Puss in Boots","6.7","1","oscar","2011","Chris Miller","USA"
"The Devil Wears Prada","6.7","2","oscar","2006","David Frankel","USA"
"The Good Shepherd","6.7","1","oscar","2006","Robert De Niro","USA"
"Something's Gotta Give","6.7","1","oscar","2003","Nancy Meyers","USA"
"Brother Bear","6.7","1","oscar","2003","Aaron Blaise, Robert Walker","USA"
"Wanted","6.7","2","oscar","2008","Timur Bekmambetov","USA, Germany"
"Rachel Getting Married","6.7","1","oscar","2008","Jonathan Demme","USA"
"The Polar Express","6.6","3","oscar","2004","Robert Zemeckis","USA"
"The Lovely Bones","6.6","1","oscar","2009","Peter Jackson","USA, UK, New Zealand"
"Coco Before Chanel","6.6","1","oscar","2009","Anne Fontaine","France, Belgium"
"The Milk of Sorrow","6.6","1","oscar","2009","Claudia Llosa","Spain, Peru"
"Outside the Law","6.6","1","oscar","2010","Rachid Bouchareb","France, Algeria, Belgium, Tunisia, Italy"
"Albert Nobbs","6.6","3","oscar","2011","NA","UK, Ireland, France, USA"
"Beaufort","6.6","1","oscar","2007","Joseph Cedar","Israel"
"Anna Karenina","6.6","1","oscar","2012","Joe Wright","UK"
"Anna Karenina","6.6","1","oscar","2012","Joe Wright","UK"
"Don't Tell","6.6","1","oscar","2005","Cristina Comencini","Italy, UK, France, Spain"
"Monster House","6.6","1","oscar","2006","Gil Kenan","USA"
"Australia","6.6","1","oscar","2008","Baz Luhrmann","Australia, USA, UK"
"Hereafter","6.5","1","oscar","2010","Clint Eastwood","USA"
"War of the Worlds","6.5","3","oscar","2005","Steven Spielberg","USA"
"Happy Feet","6.5","1","oscar","2006","George Miller, Warren Coleman, Judy Morris","Australia, USA"
"Dreamgirls","6.5","2","oscar","2006","Bill Condon","USA"
"Paris 36","6.5","1","oscar","2008","Christophe Barratier","France, Germany, Czech Republic"
"Salt","6.4","1","oscar","2010","Phillip Noyce","USA"
"Marie Antoinette","6.4","1","oscar","2006","Sofia Coppola","USA, France, Japan"
"Click","6.4","1","oscar","2006","Frank Coraci","USA"
"Transformers: Dark of the Moon","6.3","3","oscar","2011","Michael Bay","USA"
"Snow White and the Huntsman","6.2","2","oscar","2012","Rupert Sanders","USA"
"Superman Returns","6.2","1","oscar","2006","Bryan Singer","USA"
"The Golden Compass","6.1","1","oscar","2007","Chris Weitz","USA, UK"
"The Good German","6.1","1","oscar","2006","Steven Soderbergh","USA"
"W.E.","6.0","1","oscar","2011","Madonna","UK"
"Shark Tale","5.9","1","oscar","2004","Bibo Bergeron, Vicky Jenson, Rob Letterman","USA"
"Transformers: Revenge of the Fallen","5.9","1","oscar","2009","Michael Bay","USA"
"Nine","5.8","4","oscar","2009","Rob Marshall","USA, Italy"
"The Wolfman","5.8","1","oscar","2010","Joe Johnston","USA"
"Poseidon","5.6","1","oscar","2006","Wolfgang Petersen","USA"
"The Black Dahlia","5.6","1","oscar","2006","Brian De Palma","Germany, USA, France"
"Mirror Mirror","5.5","1","oscar","2012","Tarsem Singh","USA, Canada"
"The Tempest","5.3","1","oscar","2010","Julie Taymor","USA"
"Norbit","3.8","1","oscar","2007","Brian Robbins","USA"
