"tt1667889","Ice Age: Continental Drift","6.6","88 mins.","Steve Martino","Mike Thurmeier;Ray Romano;Denis Leary;John Leguizamo","Animation;Adventure;Comedy;Family","Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world."
"tt1195478","The Five-Year Engagement","6.2","124 mins.","Nicholas Stoller","Jason Segel;Emily Blunt;Chris Pratt","Comedy;Romance","One year after meeting, Tom proposes to his girlfriend, Violet, but unexpected events keep tripping them up as they look to walk down the aisle together."
"tt1667353","Mirror Mirror","5.6","106 mins.","Tarsem Singh","Lily Collins;Julia Roberts;Armie Hammer","Adventure;Comedy;Drama;Family;Fantasy","An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright."
"tt1763303","The First Time","7.0","95 mins.","Jon Kasdan","Dylan O'Brien;Britt Robertson;Victoria Justice","Comedy;Drama;Romance","A romantic comedy centered on the two high schoolers: Dave, who until now has pined for a girl he can't have, and Aubrey, a creative type who's dating a guy who doesn't quite understand her."
"tt1937449","At Any Price","5.7","105 mins.","Ramin Bahrani","Dennis Quaid;Zac Efron;Kim Dickens","Drama;Thriller","A farming family's business is threatened by an unexpected crisis, further testing the relationship between a father and his rebellious son."
"tt1999995","Would You Rather","5.8","93 mins.","David Guy Levy","Brittany Snow;June Squibb;Jeffrey Combs","Horror;Thriller","Desperate to help her ailing brother, a young woman unknowingly agrees to compete in a deadly game of ""Would You Rather,"" hosted by a sadistic aristocrat."
"tt1862079","Safety Not Guaranteed","7.1","86 mins.","Colin Trevorrow","Aubrey Plaza;Mark Duplass;Jake Johnson","Comedy;Drama;Romance;Sci-Fi","Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel."
"tt0337692","On the Road","6.1","124 mins.","Walter Salles","Sam Riley;Garrett Hedlund;Kristen Stewart","Adventure;Drama","Young writer Sal Paradise has his life shaken by the arrival of free-spirited Dean Moriarty and his girl, Marylou. As they travel across the country, they encounter a mix of people who each impact their journey indelibly."
"tt1648179","Here Comes the Boom","6.5","105 mins.","Frank Coraci","Kevin James;Salma Hayek;Henry Winkler","Action;Comedy","A high school biology teacher looks to become a successful mixed-martial arts fighter in an effort to raise money to prevent extra-curricular activities from being axed at his cash-strapped school."
"tt1655460","Wanderlust","5.6","98 mins.","David Wain","Jennifer Aniston;Paul Rudd;Malin Akerman","Comedy","Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules."
"tt1800741","Step Up Revolution","6.5","99 mins.","Scott Speer","Kathryn McCormick;Ryan Guzman;Cleopatra Coleman","Drama;Music;Romance","Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans."
"tt1374992","Upside Down","6.4","100 mins.","Juan Solanas","Jim Sturgess;Kirsten Dunst;Timothy Spall","Drama;Fantasy;Romance;Sci-Fi","Adam and Eden fell in love as teens despite the fact that they live on twinned worlds with gravities that pull in opposite directions. Ten years after a forced separation, Adam sets out on a dangerous quest to reconnect with his love."
"tt1047540","Parental Guidance","6.0","105 mins.","Andy Fickman","Billy Crystal;Bette Midler;Marisa Tomei","Comedy","Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods."
"tt1397280","Taken 2","6.2","92 mins.","Olivier Megaton","Liam Neeson;Famke Janssen;Maggie Grace","Action;Crime;Thriller","In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter."
"tt1645170","The Dictator","6.4","83 mins.","Larry Charles","Sacha Baron Cohen;Anna Faris;John C. Reilly","Comedy","The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed."
"tt1925431","Fire with Fire","5.7","97 mins.","David Barrett","Josh Duhamel;Bruce Willis;Rosario Dawson","Action;Crime;Drama;Thriller","A fireman takes an unexpected course of action when a man whom he's been ordered to testify against, after being held up at a local convenience store, threatens him."
"tt1599348","Safe House","6.8","115 mins.","Daniel Espinosa","Denzel Washington;Ryan Reynolds;Robert Patrick","Action;Crime;Mystery;Thriller","A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge."
"tt1839492","Ruby Sparks","7.2","104 mins.","Jonathan Dayton","Valerie Faris;Paul Dano;Zoe Kazan;Annette Bening","Comedy;Drama;Fantasy;Romance","A novelist struggling with writer's block finds romance in a most unusual way: by creating a female character he thinks will love him, then willing her into existence."
"tt1621045","Think Like a Man","6.5","122 mins.","Tim Story","Chris Brown;Gabrielle Union;Kevin Hart","Comedy;Romance","Four friends conspire to turn the tables on their women when they discover the ladies have been using Steve Harvey's relationship advice against them."
"tt2103217","Maniac","6.2","89 mins.","Franck Khalfoun","Elijah Wood;Nora Arnezeder;America Olivo","Horror;Thriller","As he helps a young artist with her upcoming exhibition, the owner of a mannequin shop's deadly, suppressed desires come to the surface."
"tt2091473","Promised Land","6.6","106 mins.","Gus Van Sant","Matt Damon;Frances McDormand;John Krasinski","Drama","A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources."
"tt1277953","Madagascar 3: Europe's Most Wanted","7.0","93 mins.","Eric Darnell","Tom McGrath;Ben Stiller;Jada Pinkett Smith;Chris Rock","Animation;Adventure;Comedy;Family","Alex, Marty, Gloria and Melman are still fighting to get home to their beloved Big Apple. Their journey takes them through Europe where they find the perfect cover: a traveling circus, which they reinvent - Madagascar style."
"tt1298649","The Watch","5.7","102 mins.","Akiva Schaffer","Ben Stiller;Vince Vaughn;Jonah Hill","Comedy;Sci-Fi","Four men who form a neighborhood watch group as a way to get out of their day-to-day family routines find themselves defending the Earth from an alien invasion."
"tt1855325","Resident Evil: Retribution","5.3","96 mins.","Paul W.S. Anderson","Milla Jovovich;Sienna Guillory;Michelle Rodriguez","Action;Horror;Sci-Fi;Thriller","Alice fights alongside a resistance movement in the continuing battle against the Umbrella Corporation and the undead."
"tt1646987","Wrath of the Titans","5.8","99 mins.","Jonathan Liebesman","Sam Worthington;Liam Neeson;Rosamund Pike","Action;Adventure;Fantasy","Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world."
"tt2094064","Much Ado About Nothing","7.4","109 mins.","Joss Whedon","Alexis Denisof;Amy Acker;Fran Kranz","Comedy;Drama;Romance","A modern retelling of Shakespeare's classic comedy about two pairs of lovers with different takes on romance and a way with words."
"tt1595656","To the Wonder","6.1","112 mins.","Terrence Malick","Ben Affleck;Olga Kurylenko;Javier Bardem","Drama;Romance","After falling in love in Paris, Marina and Neil come to Oklahoma, where problems arise. Their church's Spanish-born pastor struggles with his faith, while Neil encounters a woman from his childhood."
"tt1482459","The Lorax","6.4","86 mins.","Chris Renaud","Kyle Balda;Zac Efron;Taylor Swift;Danny DeVito","Animation;Comedy;Family;Fantasy","A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world."
"tt1706593","Chronicle","7.1","84 mins.","Josh Trank","Dane DeHaan;Alex Russell;Michael B. Jordan","Drama;Sci-Fi;Thriller","Whilst attending a party, three high school friends gain superpowers after making an incredible discovery underground. Soon, though, they find their lives spinning out of control and their bond tested as they embrace their darker sides."
"tt1568338","Man on a Ledge","6.6","102 mins.","Asger Leth","Sam Worthington;Elizabeth Banks;Jamie Bell","Action;Crime;Thriller","As a police psychologist works to talk down an ex-con who is threatening to jump from a Manhattan hotel rooftop, the biggest diamond heist ever committed is in motion."
"tt2125435","Beasts of the Southern Wild","7.3","93 mins.","Benh Zeitlin","Quvenzhan̩ Wallis;Dwight Henry;Levy Easterly","Drama;Fantasy","Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love."
"tt1829012","Passion","5.4","102 mins.","Brian De Palma","Rachel McAdams;Noomi Rapace;Karoline Herfurth","Crime;Drama;Mystery;Thriller","The rivalry between the manipulative boss of an advertising agency and her talented prot̩g̩e escalates from stealing credit to public humiliation to murder."
